STAT_ID,Latitude,Longitude,k600,pco2,avg_temp_air,kco2,fco2_gm2
100016,43.40578889,-70.85071667,6.339747708215302,975.1,7.25,9.042159470476898,1404.2550150637494
100017,43.31758333,-70.73894444,6.630432004478262,580.1,7.74,9.316532110953336,480.27614091712917
100018,43.25416667,-71.10277778,6.442702071125112,1588.1,7.08,9.23686806706664,2919.8280208400524
100019,43.18027778,-70.88944444,7.133665349468153,1360.5,7.86,9.987120206907528,2510.037125588663
100020,43.08333333,-71.23333333,6.5845053898963,2513.2,7.43,9.339792029564494,5149.963339190992
100021,43.09805556,-71.05944444,6.79036799713375,1166.8,7.58,9.587854722599898,1943.746610419671
100022,43.20888901,-71.53083801,6.199999999999999,4540.3,5.92,9.211124237486388,10440.656761246824
100023,43.22388889,-71.34611111,6.7590810319078365,1115.4,7.02,9.708260378430909,1875.1677177972017
100025,42.89333333,-71.51416667,6.996899229763905,2009.6,7.8,9.81353376487505,4096.133191200896
100026,42.79333333,-71.47055556,6.623784915322332,1292.6,8.3,9.150326990418101,2135.2328560678034
100031,42.42666667,-71.48527778,6.224733640510575,2243.6,8.58,8.526569787313372,3965.939480556976
100032,42.45944444,-71.44277778,6.369812540486993,1753.6,8.72,8.688515981164857,2974.5326073318356
100033,42.2625,-71.46333333,6.328282518752317,1064.3,8.8,8.611079938916566,1467.509855626667
100042,42.22,-70.99888889,6.773391315506071,1743.8,9.66,8.982093823240453,2960.9621175400302
100045,42.23861111,-71.82444444,6.202095161868474,1468.2,7.98,8.651326045470064,2421.50978745014
100046,42.23037202,-71.71090233,7.238039058629727,1092.2,8.46,9.950595291874823,1801.5370929350145
100051,41.83537571,-72.31008037,6.214321714609245,530.1,8.23,8.602899648181072,329.380091052288
100053,42.02231892,-71.95562893,6.463344086239992,450.7,8.03,9.002068542742492,165.42267765265956
100057,41.57343174,-72.20507917,7.169286823402608,768.3,9.09,9.670723631476783,941.3564260063259
100059,44.74977166,-71.63120018,7.1268715378372285,4077.4,3.16,11.532347897757823,12914.40991801432
100060,44.41005914,-71.72064381,7.533246246990281,10988.5,3.65,12.005970921288352,37734.3771295145
100061,44.51172311,-71.8373143,6.93211800182166,1287.2,3.83,10.986421386770404,2963.511563356426
100063,44.36561471,-72.03926132,6.306682315519716,11910.5,4.33,9.841467981381212,32972.8768184234
100064,44.2686741,-71.63036172,7.641135055333173,407.4,3.37,12.284178583176102,102.79611676885506
100065,44.15395258,-71.98564544,7.219363217174077,1549.3,4.49,11.209994484414944,3803.6687207069112
100067,44.15034134,-72.06509154,7.57360152192604,2243.2,4.9,11.611754164659962,6281.063727203246
100068,43.71423614,-72.41814897,6.215152635551306,7168,5.11,9.467324299043813,18156.403607239314
100069,43.64618187,-72.31231335,6.813716715602624,20193.2,4.47,10.5866750692563,60235.39680692864
100070,43.38757327,-72.36203409,7.477227240691494,1501.1,6.11,11.043873011055954,3400.2701532836154
100072,43.13174443,-72.39036554,9.896683709757216,1575,6.21,14.572519383139799,4732.080976158816
100074,42.91924782,-72.279252,6.2123155079149015,1672.9,6.24,9.138982315185393,3195.863259692125
100075,42.78591586,-72.4861996,7.1294896635059715,2935.4,6.5,10.404797789817337,7125.376580582826
100077,42.68425271,-72.08341388,6.206374490411431,574.7,6.81,8.97189314231164,470.01340360114494
100079,42.58842124,-72.04091198,6.595522321781225,1441.3,6.97,9.487841894359459,2682.044799071043
100080,42.5975862,-72.43814227,8.342447841561693,3203.6,6.91,12.022905279328034,8989.822948477795
100081,42.67008402,-72.71870355,6.616253109810877,7652.4,6.25,9.73022581359673,19064.70928795053
100082,42.64480658,-72.71564767,6.394217012689317,5438.2,6.3,9.389244982575761,12799.214152572747
100083,42.63841775,-72.72509223,7.146333829649471,5244.1,6.31,10.49042588479975,13828.218796024987
100084,42.54203032,-72.69370179,6.399282150028107,9736.8,6.96,9.20836292319537,22707.030574716195
100085,42.53591957,-72.65342328,6.355297171175888,656.4,6.02,9.412816458855088,719.0278619558236
100088,42.5786971,-72.57453339,6.594624606726093,8679.5,5.25,10.001998574955797,23237.89050456196
100090,42.35842359,-72.50592039,6.4444833829039965,2143.6,7.85,9.025009505875701,4078.5521788975884
100091,42.31897839,-72.66509075,7.72379695600085,5997.3,7.47,10.94246309481613,15904.133999759812
100093,42.35536873,-72.16091261,6.877156524525724,8832.1,7.2,9.823641014462588,21569.13782537192
100094,42.16064906,-72.51397563,6.529943167641896,4720.8,7.69,9.189305954537515,10218.059302262567
100095,42.09426112,-72.56703252,6.332794856137355,5080.5,9.17,8.52187849218931,9790.984747295543
100097,42.10676024,-72.698981,6.824885459180287,4082.8,7.27,9.728150200851719,9402.935017295553
100101,41.91176412,-72.56286569,6.3923317845634955,901.6,8.95,8.659043511273953,1151.4866865720073
100102,41.96287291,-73.017606,6.699245373757865,5535.5,7.01,9.625261239466564,13026.509461745021
100103,41.96731721,-73.03399554,8.603748508281747,9435.4,7.4,12.215161636593573,28654.985343405966
100105,41.75593243,-72.88676766,6.459769763252318,289.5,7.6,9.115501423798198,-219.75872986564823
100107,41.90843089,-72.76065063,11.649046616171212,894.9,8.07,16.204971036949907,2152.5350405329973
100110,41.56120993,-72.61120288,7.699140339311569,8635.2,6.13,11.36464378235345,25417.46091030094
100111,41.60805556,-72.42638889,6.849518069881121,692.1,8.88,9.297912375155704,721.3743364230496
100115,41.36870827,-72.84148884,6.480508173033169,10774.4,9.96,8.517253531712917,21033.17478417385
100116,41.4653749,-72.9251031,6.889115377546279,3168.6,9.43,9.198557122696302,6220.047935664198
100118,41.4256527,-72.90593558,6.340766444898456,4670,9.8,8.373370644728992,8629.940518966989
100119,41.42093048,-72.9028799,6.54436194546199,4390.9,9.82,8.637083943770723,8367.03143878006
