StreamOrde,percGW_reach_median,percBZ_reach_median,percWC_reach_median
1,0.4956567690970043,0.22797226887411176,0
2,0.37359151890116066,0.4895637514857868,0
3,0.3059619545482043,0.6222275435010594,0
4,0.22903272338373157,0.7112402877682373,0
5,0.1544342855676361,0.7025327310439776,0
6,0.10217836698042562,0.6356222172087163,0
7,0.06768844730639015,0.7600582243653645,0
1,0.5007188822841424,0.20913241276831485,0
2,0.39744278942733113,0.4024368552162829,0
3,0.33604142111619945,0.5279387879288157,0
4,0.253394295761787,0.6486878664127991,0
5,0.14552399462238824,0.7425507166058398,0
6,0.14774195617016533,0.6914736895812115,0
7,0.07091459115626025,0.7011212977579072,0
8,0.05256252442705481,0.6803942689082596,0
1,0.41545515890991047,0.31301559841111204,0
2,0.33562474545811444,0.5489390135665355,0
3,0.2616925869535463,0.6769394445684275,0
4,0.23817718710769972,0.665919885694508,0
5,0.1785772585767162,0.6195291290206772,0
6,0.136300366747602,0.8386927219611335,0
7,0.05961638457349767,0.9327225307628856,0
8,0.029671403963286228,0.8235734201778111,0
1,0.35194501014161617,0.4402030534960998,0.0014647729055957907
2,0.24684622505821585,0.7163544019777145,0.004683275337356293
3,0.18285714115477641,0.8200325532211454,0.012109618982031778
4,0.12269763101123948,0.8228839774059351,0.028911145307573955
5,0.13119223785619327,0.5567126083393935,0.08520854130324602
6,0.051926949588056937,0.7418556037623352,0.746426932159613
1,0.608585747358845,0.08863178786981302,0
2,0.5630704439193446,0.16698559252359668,0
3,0.5881097665483257,0.2012817836419548,0
4,0.5729906578353849,0.2988980696750776,0
5,0.41290741066811487,0.38303860835482545,0
6,0.5332968096814634,0.45294552399457966,0
8,0.05602117857153598,0.25749207410108477,0
1,0.5576510589435448,0.15604838020814207,0.002071936581818356
2,0.46088843309957883,0.3334481602318952,0.007404391056656369
3,0.36184949295647334,0.4544923413921767,0.022452021065444604
4,0.3055667252981512,0.4971187592244788,0.06922161447388017
5,0.20575635709437445,0.5303759030797253,0.15688928354612014
6,0.20202536334167298,0.5214371047633135,0.4611514416343693
7,0.06055314794817155,0.6280908216021588,0.9130206346987129
1,0.5154290870851043,0.2598365618637765,0
2,0.37499875380579123,0.49871522640145294,0
3,0.30706975868396724,0.6115211110847792,0
4,0.24785057987196069,0.6447289949119099,0
5,0.1367562592615376,0.6444959103199627,0
6,0.14257418021816068,0.8642456587693581,0
7,0.06625045043764068,0.8186919843498602,0
8,0.03376099804741122,0.8798347257486442,0
1,NA,NA,NA
2,0.20065601266145514,0.7996717479005595,0.0027105028401370537
3,0.13308551962383322,0.8894005282636253,0.00601599913164098
4,0.07507174693230037,0.9452223517548497,0.013644517672091338
5,0.04963545191642757,0.9759607247527822,0.028986022347309542
6,0.029462059610045412,0.888825139671111,0.07063823418998375
7,0.03484511451369643,0.8275383690352787,0.690432725883519
8,0.016597043746204396,0.6886862695745078,0.7170283388885615
1,0.8691313590999523,0,0
2,0.778675752453503,0,0
3,0.7881332995349208,0,0
4,0.7550047899044152,0,0
5,0.6532057177982273,0,0
6,0.7620731333789083,0,0
1,NA,NA,NA
2,0.3912352155210483,0.49558088785121196,0
3,0.2916031513494033,0.6101144088570276,0
4,0.20392634770997328,0.7325334366068661,0
5,0.10807727408258486,0.8196009648852896,0
6,0.07808076496702927,0.8578739912453195,0
7,0.10099194656417987,0.7746462277658871,0
1,0.4163964347695413,0.3447152713799208,0
2,0.2665521872549324,0.6628825136044524,0
3,0.18782992791908792,0.7942802654726641,0
4,0.130327870436035,0.8570892144270941,0
5,0.09130526272734195,0.8320353180227392,0
6,0.11879239313209694,0.7025309961310596,0
7,0.058951001206253205,0.9667188979555695,0
8,0.06047001845974373,1.0549556067208976,0
1,NA,NA,NA
2,NA,NA,NA
3,0.8109184416001756,0,0
4,0.7232262036640835,0,0
5,0.6750347183997496,0,0
6,0.46425707100343444,0,0
7,0.5383101763718383,0,0
8,0.511103512582474,0,0
9,0.5099692170045698,0,0
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,0.6142196382116302,0,0
5,0.538501281864167,0,0
6,0.3952500225675395,0,0
7,0.4932681427599107,0,0
8,0.35058097496393564,0,0
1,0.34546007186683114,0.4387635404121086,0
2,0.2321743553439955,0.753280918157354,0
3,0.15219572312115068,0.8527964292687464,0
4,0.09509097701786513,0.9139281955074243,0
5,0.056699418458223995,0.9428721844440446,0
6,0.04037290952402495,0.9518715145445682,0
7,0.01872874642211078,0.9990843313843583,0
8,0.00928598794987122,1.0229112256707869,0
1,0.6650092496092641,0,0
2,0.7978092750995452,0,0
3,0.8655855019501413,0,0
4,0.8299386310369175,0,0
5,0.7187623538662894,0,0
6,0.45611513125405084,0,0
8,0.10933474334412507,0,0
1,0.35880745864206937,0.4366061305848749,0
2,0.22875506991549532,0.7398843825688266,0
3,0.1505526178796842,0.8396138791605356,0
4,0.09435400072434379,0.8964959587111987,0
5,0.04565115686251682,0.9423071287153082,0
6,0.025979968776181365,0.9536250070113401,0
7,0.010819218141483226,1.003277687905809,0
8,0.01824917904262837,0.8128906113018185,0
1,0.726355714825184,0.03903886604230769,7.734668665389447e-4
2,0.5046286867642631,0.09144893400611287,0.0025632094301779275
3,0.4340565419809491,0.16312999410812093,0.007750387380774114
4,0.34163545848222476,0.2606979521443814,0.022039121425815912
5,0.2411914615244319,0.32373395695627805,0.06985893186766493
6,0.11520076895242415,0.3959890317080815,0.1685500662620839
1,0.5726875359440671,0.17467078007001285,5.089107167408392e-4
2,0.44004487577707113,0.30474885932411633,0.0012280116659081292
3,0.30359031196395814,0.4076725139443232,0.0029414294488419907
4,0.2050461947168622,0.5442217123687371,0.006098385968379022
5,0.13944220165036403,0.5354895956150207,0.016220753407276058
6,0.09418066935856398,0.655577091061204,0.04511551108049358
7,0.0943968502364151,0.6819145086312693,0.023813507996140404
8,0.031150265335431707,0.543285972055632,0.10349698130698645
1,0.4842426014467836,0.31637997373858306,0
2,0.35387499607299727,0.5337165148494243,0
3,0.23153856825900837,0.6892022533594536,0
4,0.1542395170006593,0.7187531770814424,0
5,0.08513217444618382,0.8370602913301274,0
6,0.051329629736303256,0.7341364952743324,0
7,0.033038457605491726,0.8282001814417588,0
1,NA,NA,NA
2,0.2684865784416994,0.6923796680621322,6.994745000239086e-4
3,0.18731440328516916,0.798375696689371,0.001577119439484707
4,0.12082563407477333,0.8561604268560903,0.0032583124282871915
5,0.0719160003171187,0.8372949504349104,0.007390280895665919
6,0.05236371092800615,0.8665442812089468,0.020041053516901913
7,0.024401515532663363,0.6744349565856241,0.040076186831515474
8,0.013278985609564694,1.5058748193971752,0.1588370387629476
1,0.4606215644919536,0.3591233548642437,0
2,0.3258691906675826,0.6089886724293841,0
3,0.2340815155424395,0.7296166410353001,0
4,0.15114587541229574,0.8102089813847628,0
5,0.08650122193623028,0.8262434901928882,0
6,0.05492956740144198,0.8621333443410032,0
7,0.027025049594548243,0.7196983889122107,0
8,0.01709210521922925,0.705868141247462,0
1,0.3747446665765562,0.4679602607202771,0.0013521420412998704
2,0.25869392685598314,0.7222927958388117,0.004366671522182864
3,NA,NA,NA
4,0.10942898861792857,0.8534433901239221,0.022060220780890476
5,0.06640920182114847,0.8415772926408331,0.044621101570251336
6,0.04923206110768205,0.6652249618758914,0.0898573000743185
7,0.034575750435253516,0.6284399154464215,0.4366603966420094
8,0.0401924642422156,0,0
1,0.5105701399141356,0.23713161826708032,0
2,NA,NA,NA
3,0.25538483165419035,0.6841539455070866,0
4,0.15187236745102364,0.7913388378198587,0
5,0.08616523675567905,0.8467398806257938,0
6,0.053629259995019586,0.8557242747876891,0
7,0.031172249627473576,0.8956752982645295,0
8,0.015979584262646226,0.9974891155897744,0
9,0.01338795506719355,0.7542649459350164,0
1,0.5107357369925477,0.2544998257475751,0
2,0.3605106818514685,0.530739000037596,0
3,0.26127652134194523,0.6753532436509105,0
4,0.15274638260592321,0.7817894680660511,0
5,0.0855933434233235,0.851680799700394,0
6,0.04590823626385015,0.8571258524561932,0
7,0.022517601964830262,0.9324782294494166,0
8,0.014213901210945915,0.9803569935727314,0
1,0.37070273143321647,0.3804364569084189,0
2,0.29146668751474447,0.6807210521229775,0
3,0.21628298228056322,0.7923157514994619,0
4,0.14416747363585317,0.8650587858368067,0
5,0.09009083337638232,0.915637051506289,0
6,0.05152064730338083,0.9739338229574568,0
7,0.033054672990237614,1.0468970338752999,0
8,0.021594956331442133,0.8563110710430063,0
1,0.3729595321087745,0.3790432606976459,0
2,0.29823862792697475,0.6843619081493011,0
3,0.21173285277596554,0.7838994240118224,0
4,0.12715756234347422,0.8570417212899428,0
5,0.0692889563654658,0.93350915237185,0
6,0.03008217516606741,0.9768009721817505,0
7,0.05674644343663034,0.7949267514413949,0
1,0.368270141733956,0.3661896614036585,0
2,0.32845175521525716,0.6526960109789246,0
3,0.24776613400571343,0.7504490171370443,0
4,0.1722373703538986,0.8039353595150988,0
5,0.1098615294599998,0.8739349067653308,0
6,0.06962624044163648,0.9021568693822176,0
7,0.04354411393238621,0.6909658655355762,0
8,0.015103083235689263,0.9076961590400592,0
9,0.019892381499022813,0.8323226650856543,0
1,0.39510991833622777,0.3446328679704518,6.365869336399314e-5
2,0.3602887828931669,0.6062623438860137,2.5744617014696297e-4
3,0.2654016239212329,0.6992001513924863,6.471585099535552e-4
